[__main__            ] Python         : 3.10.6  
[__main__            ] Conda Env      : dj41py310 
[__main__            ] LogFile        : xUploadOrgDB_20230330_123851.log 
[__main__            ] Django         : 4.1.3 
[__main__            ] Django Folder  : C:/Data/A02_WorkDB/03_Django/adjCOADD 
[__main__            ] Django Project : adjcoadd.settings 
[__main__            ] [Upd_djCOADD] Table: Drug 
[__main__            ] [Upd_djCOADD] User:  J.Zuegg 
[__main__            ] [Upd_djCOADD] Drug from [Drug] in C:/Data/A02_WorkDB/03_Django/adjCOADD/impdata/Data\DrugData_v02.xlsx 
[c_upload_dDrug      ] [adjCOADD] Read C:/Data/A02_WorkDB/03_Django/adjCOADD/impdata/Data\DrugData_v02.xlsx[Drug]  
[c_upload_dDrug      ]  XX Amikacin (AMD00002) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Amikacin (AMD00002) as J.Zuegg 
[c_upload_dDrug      ]  XX Amoxicillin (AMD00003) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Amoxicillin (AMD00003) as J.Zuegg 
[c_upload_dDrug      ]  XX Amoxicillin|Clavulanic acid (AMD00004) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Amoxicillin|Clavulanic acid (AMD00004) as J.Zuegg 
[c_upload_dDrug      ]  XX Amphotericin B (AMD00005) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Amphotericin B (AMD00005) as J.Zuegg 
[c_upload_dDrug      ]  XX Ampicillin (AMD00006) {'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Ampicillin (AMD00006) as J.Zuegg 
[c_upload_dDrug      ]  XX Ampicillin|Sulbactam (AMD00007) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Ampicillin|Sulbactam (AMD00007) as J.Zuegg 
[c_upload_dDrug      ]  XX Anidulafungin (AMD00008) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Anidulafungin (AMD00008) as J.Zuegg 
[c_upload_dDrug      ]  XX Apramycin (AMD00178) {'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Apramycin (AMD00178) as J.Zuegg 
[c_upload_dDrug      ]  XX Avibactam (AMD00009) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Avibactam (AMD00009) as J.Zuegg 
[c_upload_dDrug      ]  XX Azithromycin (AMD00010) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Azithromycin (AMD00010) as J.Zuegg 
[c_upload_dDrug      ]  XX Azlocillin (AMD00011) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Azlocillin (AMD00011) as J.Zuegg 
[c_upload_dDrug      ]  XX Aztreonam (AMD00012) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Aztreonam (AMD00012) as J.Zuegg 
[c_upload_dDrug      ]  XX Aztreonam|Avibactam (AMD00216) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Aztreonam|Avibactam (AMD00216) as J.Zuegg 
[c_upload_dDrug      ]  XX Bedaquiline (AMD00013) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Bedaquiline (AMD00013) as J.Zuegg 
[c_upload_dDrug      ]  XX Bekanamycin (AMD00219) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Bekanamycin (AMD00219) as J.Zuegg 
[c_upload_dDrug      ]  XX Benzylpenicillin (AMD00179) {'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Benzylpenicillin (AMD00179) as J.Zuegg 
[c_upload_dDrug      ]  XX Capreomycin (AMD00014) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Capreomycin (AMD00014) as J.Zuegg 
[c_upload_dDrug      ]  XX Carbenicillin (AMD00015) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Carbenicillin (AMD00015) as J.Zuegg 
[c_upload_dDrug      ]  XX Caspofungin (AMD00016) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Caspofungin (AMD00016) as J.Zuegg 
[c_upload_dDrug      ]  XX Cefacetrile (AMD00017) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Cefacetrile (AMD00017) as J.Zuegg 
[c_upload_dDrug      ]  XX Cefaclor (AMD00018) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Cefaclor (AMD00018) as J.Zuegg 
[c_upload_dDrug      ]  XX Cefadroxil (AMD00019) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Cefadroxil (AMD00019) as J.Zuegg 
[c_upload_dDrug      ]  XX Cefalexin (AMD00020) {'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Cefalexin (AMD00020) as J.Zuegg 
[c_upload_dDrug      ]  XX Cefaloglycin (AMD00021) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Cefaloglycin (AMD00021) as J.Zuegg 
[c_upload_dDrug      ]  XX Cefalonium (AMD00022) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Cefalonium (AMD00022) as J.Zuegg 
[c_upload_dDrug      ]  XX Cefaloridine (AMD00023) {'drug_othernames': ['This field cannot be blank.'], 'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Cefaloridine (AMD00023) as J.Zuegg 
[c_upload_dDrug      ]  XX Cefalotin (AMD00024) {'drug_codes': ['This field cannot be blank.']}  
[c_upload_dDrug      ]  >r Cefalotin (AMD00024) as J.Zuegg 
